Designator,Footprint,Quantity,Value,LCSC Part #
BTN1,SW_SPST_TL3342,1,RESET,C2886898
BTN2,SW_SPST_TL3342,1,BOOT,C2886898
"C1, C10, C11, C2, C3, C4, C5, C6, C7, C8, C9",0805,11,100nf,C28233
"C12, C13, C16, C17",0805,4,1uf,C28323
"C14, C15",0805,2,22pf,C1804
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D40, D41, D42, D43, D44, D45, D46, D47, D48, D49, D5, D50, D51, D52, D53, D54, D55, D56, D57, D58, D59, D6, D60, D61, D62, D63, D64, D65, D66, D67, D68, D7, D8, D9",D_SOD-323,68,D,C2128
J1,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,1,UD,C160404
J2,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,1,OLED,C160404
J3,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,1,LEDs,C160404
J4,JST_SH_SM03B-SRSS-TB_1x03-1MP_P1.00mm_Horizontal,1,Switch,C160403
"LED1, LED10, LED11, LED12, LED13, LED14, LED15, LED16, LED17, LED18, LED19, LED2, LED20, LED21, LED22, LED23, LED24, LED25, LED26, LED27, LED28, LED29, LED3, LED30, LED31, LED32, LED33, LED34, LED35, LED36, LED37, LED38, LED39, LED4, LED40, LED41, LED42, LED43, LED44, LED45, LED46, LED47, LED48, LED49, LED5, LED50, LED51, LED52, LED53, LED54, LED55, LED56, LED57, LED58, LED59, LED6, LED60, LED61, LED62, LED63, LED64, LED65, LED66, LED67, LED68, LED7, LED8, LED9",LED_6028R,68,SK6812MINI-E,C5149201
"R1, R4, R5",0805,3,10k,C17414
"R2, R3",0805,2,27,C17594
R6,0805,1,1k,C17513
SW1,SW_MX_HS_CPG151101S11_1u,1,ESC,C41430893
SW10,SW_MX_HS_CPG151101S11_1u,1,9,C41430893
SW11,SW_MX_HS_CPG151101S11_1u,1,0,C41430893
SW12,SW_MX_HS_CPG151101S11_1u,1,-,C41430893
SW13,SW_MX_HS_CPG151101S11_1u,1,=,C41430893
SW14,SW_MX_HS_CPG151101S11_1u,1,BACK,C41430893
SW15,SW_MX_HS_CPG151101S11_1u,1,Del,C41430893
SW15E1,ROT_Alps_EC11E-Switch,1,SW15,
SW16,SW_MX_HS_CPG151101S11_1u,1,TAB,C41430893
SW17,SW_MX_HS_CPG151101S11_1u,1,Q,C41430893
SW18,SW_MX_HS_CPG151101S11_1u,1,W,C41430893
SW19,SW_MX_HS_CPG151101S11_1u,1,E,C41430893
SW2,SW_MX_HS_CPG151101S11_1u,1,1,C41430893
SW20,SW_MX_HS_CPG151101S11_1u,1,R,C41430893
SW21,SW_MX_HS_CPG151101S11_1u,1,T,C41430893
SW22,SW_MX_HS_CPG151101S11_1u,1,Y,C41430893
SW23,SW_MX_HS_CPG151101S11_1u,1,U,C41430893
SW24,SW_MX_HS_CPG151101S11_1u,1,I,C41430893
SW25,SW_MX_HS_CPG151101S11_1u,1,O,C41430893
SW26,SW_MX_HS_CPG151101S11_1u,1,P,C41430893
SW27,SW_MX_HS_CPG151101S11_1u,1,[,C41430893
SW28,SW_MX_HS_CPG151101S11_1u,1,],C41430893
SW29,SW_MX_HS_CPG151101S11_1u,1,\,C41430893
SW3,SW_MX_HS_CPG151101S11_1u,1,2,C41430893
SW30,SW_MX_HS_CPG151101S11_1u,1,PgUp,C41430893
SW31,SW_MX_HS_CPG151101S11_1u,1,CAPS,C41430893
SW32,SW_MX_HS_CPG151101S11_1u,1,A,C41430893
SW33,SW_MX_HS_CPG151101S11_1u,1,S,C41430893
SW34,SW_MX_HS_CPG151101S11_1u,1,D,C41430893
SW35,SW_MX_HS_CPG151101S11_1u,1,F,C41430893
SW36,SW_MX_HS_CPG151101S11_1u,1,G,C41430893
SW37,SW_MX_HS_CPG151101S11_1u,1,H,C41430893
SW38,SW_MX_HS_CPG151101S11_1u,1,J,C41430893
SW39,SW_MX_HS_CPG151101S11_1u,1,K,C41430893
