Designator,Mid X,Mid Y,Rotation,Layer
C1,166.9,-121.4,180.0,bottom
C10,181.05,-115.6,180.0,bottom
C11,179.55,-111.1,180.0,bottom
C12,194.407135,-120.45,90.0,bottom
C13,196.378562,-120.45,90.0,bottom
C14,185.0875,-104.9,270.0,bottom
C15,183.1,-104.9,90.0,bottom
C16,267.4,-94.3,0.0,bottom
C17,267.44,-100.4,180.0,bottom
C2,191.05,-104.9,270.0,bottom
C3,184.55,-120.45,90.0,bottom
C4,194.55,-111.5,0.0,bottom
C5,186.521427,-120.45,90.0,bottom
C6,198.349989,-120.45,90.0,bottom
C7,189.0625,-104.9,270.0,bottom
C8,192.75,-116.35,0.0,bottom
C9,188.492854,-120.45,90.0,bottom
D1,45.46,-36.8,90.0,bottom
D10,216.91,-36.8,90.0,bottom
D11,235.96,-36.8,90.0,bottom
D12,255.01,-36.8,90.0,bottom
D13,274.06,-36.8,90.0,bottom
D14,302.635,-36.8,90.0,bottom
D15,313.5,-36.8,90.0,bottom
D16,50.2225,-55.85,90.0,bottom
D17,74.035,-55.85,90.0,bottom
D18,93.085,-55.85,90.0,bottom
D19,112.135,-55.85,90.0,bottom
D2,64.51,-36.8,90.0,bottom
D20,131.185,-55.85,90.0,bottom
D21,150.235,-55.85,90.0,bottom
D22,169.285,-55.85,90.0,bottom
D23,188.335,-55.85,90.0,bottom
D24,207.385,-55.85,90.0,bottom
D25,226.435,-55.85,90.0,bottom
D26,245.485,-55.85,90.0,bottom
D27,264.535,-55.85,90.0,bottom
D28,283.585,-55.85,90.0,bottom
D29,307.3975,-55.85,90.0,bottom
D3,83.56,-36.8,90.0,bottom
D30,331.21,-55.85,90.0,bottom
D31,47.84125,-74.9,90.0,bottom
D32,78.7975,-74.9,90.0,bottom
D33,97.8475,-74.9,90.0,bottom
D34,116.8975,-74.9,90.0,bottom
D35,135.9475,-74.9,90.0,bottom
D36,154.9975,-74.9,90.0,bottom
D37,174.0475,-74.9,90.0,bottom
D38,193.0975,-74.9,90.0,bottom
D39,212.1475,-74.9,90.0,bottom
D4,102.61,-36.8,90.0,bottom
D40,231.1975,-74.9,90.0,bottom
D41,250.2475,-74.9,90.0,bottom
D42,269.2975,-74.9,90.0,bottom
D43,300.25375,-74.9,90.0,bottom
D44,331.21,-74.9,90.0,bottom
D45,57.36625,-93.95,90.0,bottom
D46,88.3225,-93.95,90.0,bottom
D47,107.3725,-93.95,90.0,bottom
D48,126.4225,-93.95,90.0,bottom
D49,145.4725,-93.95,90.0,bottom
D5,121.66,-36.8,90.0,bottom
D50,164.5225,-93.95,90.0,bottom
D51,183.5725,-93.95,90.0,bottom
D52,202.6225,-93.95,90.0,bottom
D53,221.6725,-93.95,90.0,bottom
D54,240.7225,-93.95,90.0,bottom
D55,259.7725,-93.95,90.0,bottom
D56,285.96625,-93.95,90.0,bottom
D57,312.16,-93.95,90.0,bottom
D58,331.21,-93.95,90.0,bottom
D59,47.84125,-113.0,90.0,bottom
D6,140.71,-36.8,90.0,bottom
D60,71.65375,-113.0,90.0,bottom
D61,95.46625,-113.0,90.0,bottom
D62,166.90375,-113.0,90.0,bottom
D63,255.0,-113.0,90.0,bottom
D64,274.0,-113.0,90.0,bottom
D65,293.11,-113.0,90.0,bottom
D66,312.16,-113.0,90.0,bottom
D67,331.21,-113.0,90.0,bottom
D68,235.95,-113.0,90.0,bottom
D7,159.76,-36.8,90.0,bottom
D8,178.81,-36.8,90.0,bottom
D9,197.86,-36.8,90.0,bottom
J1,274.675,-84.4,180.0,bottom
J2,288.7,-64.5,180.0,bottom
J3,56.0,-81.5,180.0,bottom
J4,312.55,-64.5,180.0,bottom
LED1,38.1,-33.1,180.0,bottom
LED10,209.55,-33.1,180.0,bottom
LED11,228.6,-33.1,180.0,bottom
LED12,247.65,-33.1,180.0,bottom
LED13,266.7,-33.1,180.0,bottom
LED14,295.275,-33.1,180.0,bottom
LED15,323.85,-43.1,0.0,bottom
LED16,42.8625,-52.15,0.0,bottom
LED17,66.675,-52.15,0.0,bottom
LED18,85.725,-52.15,0.0,bottom
LED19,104.775,-52.15,0.0,bottom
LED2,57.15,-33.1,180.0,bottom
LED20,123.825,-52.15,0.0,bottom
LED21,142.875,-52.15,0.0,bottom
LED22,161.925,-52.15,0.0,bottom
LED23,180.975,-52.15,0.0,bottom
LED24,200.025,-52.15,0.0,bottom
LED25,219.075,-52.15,0.0,bottom
LED26,238.125,-52.15,0.0,bottom
LED27,257.175,-52.15,0.0,bottom
LED28,276.225,-52.15,0.0,bottom
LED29,300.0375,-52.15,0.0,bottom
LED3,76.2,-33.1,180.0,bottom
LED30,323.85,-52.15,0.0,bottom
LED31,40.48125,-71.2,180.0,bottom
LED32,71.4375,-71.2,180.0,bottom
LED33,90.4875,-71.2,180.0,bottom
LED34,109.5375,-71.2,180.0,bottom
LED35,128.5875,-71.2,180.0,bottom
LED36,147.6375,-71.2,180.0,bottom
LED37,166.6875,-71.2,180.0,bottom
LED38,185.7375,-71.2,180.0,bottom
LED39,204.7875,-71.2,180.0,bottom
LED4,95.25,-33.1,180.0,bottom
LED40,223.8375,-71.2,180.0,bottom
LED41,242.8875,-71.2,180.0,bottom
LED42,261.9375,-71.2,180.0,bottom
LED43,292.89375,-71.2,180.0,bottom
LED44,323.85,-71.2,180.0,bottom
LED45,50.00625,-90.25,0.0,bottom
LED46,80.9625,-90.25,0.0,bottom
LED47,100.0125,-90.25,0.0,bottom
LED48,119.0625,-90.25,0.0,bottom
LED49,138.1125,-90.25,0.0,bottom
LED5,114.3,-33.1,180.0,bottom
LED50,157.1625,-90.25,0.0,bottom
LED51,176.2125,-90.25,0.0,bottom
LED52,195.2625,-90.25,0.0,bottom
LED53,214.3125,-90.25,0.0,bottom
LED54,233.3625,-90.25,0.0,bottom
LED55,252.4125,-90.25,0.0,bottom
LED56,278.60625,-90.25,0.0,bottom
LED57,304.8,-90.25,0.0,bottom
LED58,323.85,-90.25,0.0,bottom
LED59,40.48125,-109.3,180.0,bottom
LED6,133.35,-33.1,180.0,bottom
LED60,64.29375,-109.3,180.0,bottom
LED61,88.10625,-109.3,180.0,bottom
LED62,159.54375,-109.3,180.0,bottom
LED63,247.65,-109.3,180.0,bottom
LED64,266.7,-109.3,180.0,bottom
LED65,285.75,-109.3,180.0,bottom
LED66,304.8,-109.3,180.0,bottom
LED67,323.85,-109.3,180.0,bottom
LED68,228.6,-109.3,180.0,bottom
LED7,152.4,-33.1,180.0,bottom
LED8,171.45,-33.1,180.0,bottom
LED9,190.5,-33.1,180.0,bottom
R1,168.8,-111.4,90.0,bottom
R2,190.464281,-120.45,90.0,bottom
R3,192.435708,-120.45,90.0,bottom
R4,129.8,-120.75,270.0,bottom
R5,140.5,-120.75,270.0,bottom
R6,187.075,-104.9,270.0,bottom
SW1,38.735,-41.910000000000004,0.0,bottom
SW10,210.185,-41.910000000000004,0.0,bottom
SW11,229.23499999999999,-41.910000000000004,0.0,bottom
SW12,248.285,-41.910000000000004,0.0,bottom
SW13,267.335,-41.910000000000004,0.0,bottom
SW14,295.90999999999997,-41.910000000000004,0.0,bottom
SW15,323.21500000000003,-34.29,180.0,bottom
SW15E1,323.85,-38.35,0.0,top
SW16,43.497499999999995,-60.96,0.0,bottom
SW17,67.31,-60.96,0.0,bottom
SW18,86.36,-60.96,0.0,bottom
SW19,105.41000000000001,-60.96,0.0,bottom
SW2,57.785,-41.910000000000004,0.0,bottom
SW20,124.46000000000001,-60.96,0.0,bottom
SW21,143.51,-60.96,0.0,bottom
SW22,162.56,-60.96,0.0,bottom
SW23,181.60999999999999,-60.96,0.0,bottom
SW24,200.66,-60.96,0.0,bottom
SW25,219.70999999999998,-60.96,0.0,bottom
SW26,238.76,-60.96,0.0,bottom
SW27,257.81,-60.96,0.0,bottom
SW28,276.86,-60.96,0.0,bottom
